x_px,y_px
261.0,560.0
262.25,506.75
262.3333333333333,542.0
263.0,364.0
263.3333333333333,526.6666666666666
264.0,585.0
264.0,659.0
264.6666666666667,490.0
266.0,381.0
266.5,695.0
268.0,468.4
268.0,711.0
268.0,787.0
269.8292682926829,603.0975609756098
270.0,560.0
270.0,642.0
270.0,729.0
270.0,770.0
270.5,896.25
271.0,841.0
272.0,659.0
272.0,878.0
273.0,542.0
273.6,805.0
273.75,893.75
274.0,221.0
274.0,227.0
274.0,242.0
274.0,339.0
274.0,353.0
274.0,392.0
274.0,416.6666666666667
274.0,428.0
274.0,451.0
274.0,456.0
274.0,470.0
274.0,476.0
274.0,486.0
274.0,494.0
274.0,504.0
274.0,529.0
274.0,549.0
274.0,568.0
274.0,603.0
274.0,639.0
274.0,664.0
274.0,680.0
274.0,703.0
274.0,726.0
274.0,734.0
274.0,745.0
274.0,762.0
274.0,775.0
274.0,818.6666666666666
274.0,829.0
274.0,836.0
274.0,850.0
274.25,373.75
274.38461538461536,787.8461538461538
274.45454545454544,653.0
274.5,625.6666666666666
276.0,329.0
276.0,364.0
277.5,468.25
278.4,435.4
279.6,278.4
279.6666666666667,295.0
280.0,348.0
280.0,381.0
280.75,262.25
281.0,418.0
281.125,489.75
283.22222222222223,507.1111111111111
284.0,435.0
284.0,729.0
284.5,526.0
285.0,585.0
285.0,751.0
285.6666666666667,468.0
285.6666666666667,624.0
287.5,642.0
287.6666666666667,542.0
288.0,659.0
289.0,695.0
289.0,770.0
290.0,711.0
290.0,824.0
291.0,787.0
291.6666666666667,562.0
291.6744186046512,794.2093023255813
291.93333333333334,671.2666666666667
292.0,273.3333333333333
292.0,550.0
292.0,639.0
292.0,657.0
292.0,676.0
292.0,702.0
292.0,714.6666666666666
292.0,757.0
292.0,806.0
292.0,829.5384615384615
292.0,851.0
292.0,892.0
293.0,841.0
294.0,824.0
295.0,711.0
296.6666666666667,230.0
296.75,278.25
298.4,294.8
299.0,262.0
299.0,310.8333333333333
299.25,380.25
301.0,585.0
302.2857142857143,452.42857142857144
303.0,659.0
304.0,841.0
304.75,490.25
305.0,711.0
305.25,602.375
305.3333333333333,751.0
306.0,676.0
307.0,729.0
307.0,824.0
308.6363636363636,787.2727272727273
308.6666666666667,680.0
308.94736842105266,652.8421052631579
309.0,70.66666666666667
309.0,330.0
309.0,376.0
309.0,424.0
309.0,467.0
309.0,488.0
